IPN,MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Datasheet
RES-0000-0000,RC0603FR-070RL,Yageo,0 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,0,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1000,RC0603FR-071RL,Yageo,1 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1001,RC0603FR-0710RL,Yageo,10 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1002,RC0603FR-07100RL,Yageo,100 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1003,RC0603FR-071KL,Yageo,1K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1004,RC0603FR-0710KL,Yageo,10K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1005,RC0603FR-07100KL,Yageo,100K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,100K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1006,RC0603FR-071ML,Yageo,1M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1020,RC0603FR-071R02L,Yageo,1.02 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.02,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1021,RC0603FR-0710R2L,Yageo,10.2 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.2,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1022,RC0603FR-07102RL,Yageo,102 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,102,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1023,RC0603FR-071K02L,Yageo,1.02K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.02K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1024,RC0603FR-0710K2L,Yageo,10.2K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.2K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1025,RC0603FR-07102KL,Yageo,102K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,102K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1026,RC0603FR-071M02L,Yageo,1.02M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.02M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1050,RC0603FR-071R05L,Yageo,1.05 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.05,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1051,RC0603FR-0710R5L,Yageo,10.5 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.5,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1052,RC0603FR-07105RL,Yageo,105 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1053,RC0603FR-071K05L,Yageo,1.05K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.05K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1054,RC0603FR-0710K5L,Yageo,10.5K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.5K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1055,RC0603FR-07105KL,Yageo,105K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,105K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1056,RC0603FR-071M05L,Yageo,1.05M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.05M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1070,RC0603FR-071R07L,Yageo,1.07 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.07,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1071,RC0603FR-0710R7L,Yageo,10.7 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.7,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1072,RC0603FR-07107RL,Yageo,107 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1073,RC0603FR-071K07L,Yageo,1.07K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.07K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1074,RC0603FR-0710K7L,Yageo,10.7K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,10.7K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1075,RC0603FR-07107KL,Yageo,107K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,107K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1076,RC0603FR-071M07L,Yageo,1.07M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.07M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1100,RC0603FR-071R1L,Yageo,1.1 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.1,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1101,RC0603FR-0711RL,Yageo,11 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1102,RC0603FR-07110RL,Yageo,110 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1103,RC0603FR-071K1L,Yageo,1.1K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.1K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1104,RC0603FR-0711KL,Yageo,11K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1105,RC0603FR-07110KL,Yageo,110K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,110K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1106,RC0603FR-071M1L,Yageo,1.1M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.1M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1130,RC0603FR-071R13L,Yageo,1.13 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.13,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1131,RC0603FR-0711R3L,Yageo,11.3 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.3,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1132,RC0603FR-07113RL,Yageo,113 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1133,RC0603FR-071K13L,Yageo,1.13K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.13K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1134,RC0603FR-0711K3L,Yageo,11.3K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.3K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1135,RC0603FR-07113KL,Yageo,113K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,113K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1136,RC0603FR-071M13L,Yageo,1.13M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.13M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1150,RC0603FR-071R15L,Yageo,1.15 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.15,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1151,RC0603FR-0711R5L,Yageo,11.5 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.5,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1152,RC0603FR-07115RL,Yageo,115 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1153,RC0603FR-071K15L,Yageo,1.15K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.15K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1154,RC0603FR-0711K5L,Yageo,11.5K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.5K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1155,RC0603FR-07115KL,Yageo,115K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,115K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1156,RC0603FR-071M15L,Yageo,1.15M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.15M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1180,RC0603FR-071R18L,Yageo,1.18 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.18,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1181,RC0603FR-0711R8L,Yageo,11.8 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.8,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1182,RC0603FR-07118RL,Yageo,118 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1183,RC0603FR-071K18L,Yageo,1.18K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.18K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1184,RC0603FR-0711K8L,Yageo,11.8K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,11.8K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1185,RC0603FR-07118KL,Yageo,118K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,118K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1186,RC0603FR-071M18L,Yageo,1.18M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.18M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1210,RC0603FR-071R21L,Yageo,1.21 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.21,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1211,RC0603FR-0712R1L,Yageo,12.1 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.1,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1212,RC0603FR-07121RL,Yageo,121 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1213,RC0603FR-071K21L,Yageo,1.21K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.21K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1214,RC0603FR-0712K1L,Yageo,12.1K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.1K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1215,RC0603FR-07121KL,Yageo,121K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,121K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1216,RC0603FR-071M21L,Yageo,1.21M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.21M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1240,RC0603FR-071R24L,Yageo,1.24 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.24,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1241,RC0603FR-0712R4L,Yageo,12.4 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.4,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1242,RC0603FR-07124RL,Yageo,124 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1243,RC0603FR-071K24L,Yageo,1.24K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.24K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1244,RC0603FR-0712K4L,Yageo,12.4K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.4K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1245,RC0603FR-07124KL,Yageo,124K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,124K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1246,RC0603FR-071M24L,Yageo,1.24M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.24M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1270,RC0603FR-071R27L,Yageo,1.27 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.27,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1271,RC0603FR-0712R7L,Yageo,12.7 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.7,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1272,RC0603FR-07127RL,Yageo,127 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1273,RC0603FR-071K27L,Yageo,1.27K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.27K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1274,RC0603FR-0712K7L,Yageo,12.7K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,12.7K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1275,RC0603FR-07127KL,Yageo,127K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,127K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1276,RC0603FR-071M27L,Yageo,1.27M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.27M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1300,RC0603FR-071R3L,Yageo,1.3 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.3,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1301,RC0603FR-0713RL,Yageo,13 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1302,RC0603FR-07130RL,Yageo,130 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1303,RC0603FR-071K3L,Yageo,1.3K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.3K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1304,RC0603FR-0713KL,Yageo,13K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1305,RC0603FR-07130KL,Yageo,130K 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,130K,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1306,RC0603FR-071M3L,Yageo,1.3M 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.3M,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1330,RC0603FR-071R33L,Yageo,1.33 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1.33,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
RES-0000-1331,RC0603FR-0713R3L,Yageo,13.3 0603,Device:R_US,Resistor_SMD:R_0603_1608Metric;R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,13.3,75V,100mW,1%,https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf
